DATE;HEURE;NO;NO2;PM10;PM25;CO2;TEMP;HUMI
16-févr-14;23:00;4;44;49;18;442;17,4;43,4
17-févr-14;1:00;<2;21;21;8;420;17,4;42,8
17-févr-14;3:00;<2;19;<5;<5;423;17,4;42,3
17-févr-14;8:00;97;58;120;44;659;17,4;45,1
17-févr-14;9:00;105;60;117;43;553;17,4;43,6
17-févr-14;10:00;74;59;74;31;514;17,2;43,6
17-févr-14;12:00;54;63;66;26;525;17,3;44,3
18-févr-14;2:00;54;57;22;14;447;17,4;37,9
18-févr-14;8:00;144;64;95;35;652;17,4;39,3
18-févr-14;11:00;130;64;82;34;552;17,5;37,9
18-févr-14;12:00;71;59;65;26;540;17,5;38,4
18-févr-14;17:00;63;51;107;47;672;18,2;45,5
18-févr-14;20:00;41;51;64;35;489;17,8;47,4
18-févr-14;23:00;14;46;43;24;446;17,6;46,5
19-févr-14;3:00;<2;25;12;<5;422;17;47,2
19-févr-14;6:00;62;53;86;32;515;17,1;51
19-févr-14;14:00;68;69;62;21;539;18,1;44,2
19-févr-14;18:00;72;69;76;28;639;18,6;44,3
19-févr-14;19:00;65;70;81;30;563;18,7;42,6
19-févr-14;23:00;17;53;50;22;446;18,1;43,7
20-févr-14;1:00;<2;32;33;11;416;18,1;44,5
20-févr-14;6:00;42;51;73;26;501;17,7;54,2
20-févr-14;11:00;51;50;71;27;517;18,1;56,8
20-févr-14;13:00;41;47;67;36;540;18,6;56,5
20-févr-14;14:00;41;50;64;23;535;18,4;58
20-févr-14;23:00;9;53;51;12;455;18,4;45,9
21-févr-14;0:00;5;40;59;13;426;18,1;44,9
21-févr-14;3:00;25;30;39;25;421;18,7;44
21-févr-14;11:00;44;66;130;48;529;18,3;36,5
21-févr-14;13:00;42;66;170;65;543;18,7;34,9
21-févr-14;18:00;57;67;194;92;649;19,2;35,6
21-févr-14;20:00;25;56;205;98;511;19;35,9
21-févr-14;21:00;15;57;114;40;502;18,8;35,8
22-févr-14;11:00;29;61;153;50;512;18,3;41,9
22-févr-14;12:00;38;64;142;47;525;18,4;41,5
22-févr-14;16:00;78;72;136;58;583;18,9;39,9
22-févr-14;19:00;107;84;105;45;562;18,7;40,9
22-févr-14;22:00;86;65;134;55;525;18,7;44
23-févr-14;0:00;80;47;152;75;470;18,9;46,5
23-févr-14;3:00;27;41;36;33;428;18,9;43
23-févr-14;7:00;21;42;176;66;451;17,8;44,4
23-févr-14;16:00;22;62;127;51;505;19;41,7
23-févr-14;19:00;36;74;92;37;483;18,4;41,1
23-févr-14;20:00;20;62;80;31;475;18,8;41
23-févr-14;22:00;11;57;77;31;450;18,6;40,6
24-févr-14;1:00;37;43;39;13;423;19;39,8
24-févr-14;7:00;156;68;188;77;663;18,3;42,7
24-févr-14;9:00;115;67;107;42;572;18,5;37,7
24-févr-14;10:00;72;67;128;24;520;18,4;36,7
25-févr-14;1:00;12;38;34;35;418;19,4;39,2
25-févr-14;7:00;42;60;196;116;637;18,9;51
25-févr-14;14:00;44;61;130;57;560;19,6;45
25-févr-14;15:00;24;57;128;57;572;19,5;44,2
25-févr-14;18:00;29;65;148;60;648;19,6;42,8
25-févr-14;23:00;9;48;95;46;439;18,9;41,3
26-févr-14;0:00;360;93;115;56;445;19,2;42,2
29-sept-13;13:00;47;50;91;36;ND;25;49
29-sept-13;15:00;49;65;102;33;ND;25;48
29-sept-13;23:00;13;28;45;18;ND;25;50
30-sept-13;0:00;4;21;<5;<5;ND;24;49
30-sept-13;2:00;<2;18;15;7;ND;24;46
30-sept-13;6:00;147;41;195;59;ND;25;46
30-sept-13;14:00;145;59;167;60;702;26;45
30-sept-13;17:00;146;65;211;72;644;26;45
30-sept-13;20:00;50;52;129;45;441;25;45
30-sept-13;21:00;35;48;70;24;423;25;47
01-oct-13;5:00;87;34;249;82;824;25;47
01-oct-13;6:00;133;33;444;137;1080;25;48
01-oct-13;15:00;125;60;359;126;699;26;42
01-oct-13;18:00;100;62;118;43;515;25;42
01-oct-13;19:00;57;55;69;31;443;25;41
02-oct-13;2:00;13;27;25;14;366;24;41
02-oct-13;5:00;92;34;120;43;485;24;44
02-oct-13;13:00;135;54;172;60;528;26;47
02-oct-13;19:00;131;54;97;37;449;25;51
03-oct-13;3:00;6;23;17;<5;372;24;45
03-oct-13;7:00;144;43;168;53;615;25;43
04-oct-13;3:00;3;24;18;9;357;24;54
04-oct-13;5:00;46;33;103;36;459;25;52
05-oct-13;6:00;44;39;61;21;ND;24;47
05-oct-13;9:00;47;49;52;25;ND;25;45
05-oct-13;11:00;49;52;68;21;ND;25;42
05-oct-13;12:00;58;56;87;24;ND;25;42
06-oct-13;10:00;45;44;59;19;ND;24;44
06-oct-13;16:00;69;66;84;25;ND;24;36
07-oct-13;10:00;107;59;145;55;ND;24;42
07-oct-13;11:00;91;60;125;47;ND;25;40
07-oct-13;14:00;83;68;120;38;607;25;34
07-oct-13;19:00;104;81;105;40;512;25;37
08-oct-13;3:00;31;44;31;20;466;23;42
08-oct-13;4:00;61;43;99;39;500;23;42
08-oct-13;7:00;205;58;148;52;726;24;42
08-oct-13;8:00;200;62;112;41;588;24;41
08-oct-13;9:00;194;62;152;54;579;24;41
08-oct-13;10:00;132;64;120;44;575;24;42
08-oct-13;12:00;77;61;176;62;567;25;39
08-oct-13;22:00;20;46;69;32;455;24;44
09-oct-13;6:00;97;33;645;241;801;25;46
09-oct-13;14:00;96;48;258;85;633;25;47
09-oct-13;15:00;100;43;411;152;734;25;47
09-oct-13;23:00;6;34;61;18;431;24;39
10-oct-13;2:00;<2;23;<5;<5;424;23;39
10-oct-13;12:00;87;55;183;61;572;23;36
10-oct-13;15:00;74;55;220;70;684;24;34
11-oct-13;0:00;15;31;20;13;423;22;32
11-oct-13;11:00;101;50;159;56;581;23;37
11-oct-13;15:00;95;51;333;124;737;23;35
11-oct-13;16:00;105;52;191;65;781;23;35
12-oct-13;6:00;60;37;212;80;481;22;36
12-oct-13;10:00;73;46;207;73;546;22;35
12-oct-13;15:00;133;66;184;61;657;23;34
13-oct-13;1:00;69;40;24;19;462;23;35
13-oct-13;8:00;33;33;221;84;485;22;34
13-oct-13;17:00;39;47;276;105;524;23;36
13-oct-13;23:00;42;30;159;57;428;22;37
14-oct-13;1:00;4;19;30;12;422;22;38
14-oct-13;2:00;4;18;21;9;423;22;39
14-oct-13;3:00;17;23;16;7;432;22;39
14-oct-13;6:00;75;44;311;102;702;22;41
14-oct-13;7:00;76;48;266;95;695;22;41
14-oct-13;9:00;75;48;302;104;554;23;40
14-oct-13;13:00;56;56;184;68;569;23;43
14-oct-13;17:00;76;52;474;165;729;24;40
14-oct-13;21:00;15;44;161;56;471;23;41
15-oct-13;10:00;72;56;187;69;548;23;40
15-oct-13;11:00;95;52;314;123;564;23;40
15-oct-13;13:00;52;58;143;50;565;23;39
15-oct-13;14:00;80;57;246;91;621;23;39
15-oct-13;16:00;102;62;266;86;758;24;40
16-oct-13;2:00;17;35;20;14;442;23;39
16-oct-13;3:00;25;44;8;9;455;22;39
16-oct-13;6:00;217;56;415;152;747;22;42
16-oct-13;12:00;123;50;267;96;586;23;45
16-oct-13;23:00;ND;ND;ND;47;ND;ND;46
17-oct-13;1:00;108;80;201;201;491;25;46
17-oct-13;2:00;146;98;261;202;504;25;43
17-oct-13;17:00;101;50;311;126;789;27;44
17-oct-13;19:00;82;55;130;59;575;26;45
17-oct-13;22:00;47;45;89;39;513;25;47
18-oct-13;0:00;82;81;90;43;491;25;47
18-oct-13;2:00;100;65;83;60;512;25;44
18-oct-13;4:00;106;36;78;38;539;24;45
18-oct-13;15:00;91;58;153;50;680;26;43
18-oct-13;16:00;111;57;144;48;727;25;44
18-oct-13;17:00;102;56;139;51;682;26;43
19-oct-13;4:00;43;28;54;25;501;24;43
19-oct-13;13:00;48;45;72;38;602;25;51
19-oct-13;22:00;42;42;89;35;548;25;52
20-oct-13;5:00;17;31;50;22;505;25;51
20-oct-13;8:00;57;36;65;28;524;25;52
20-oct-13;10:00;26;37;67;26;517;25;52
20-oct-13;13:00;23;42;111;36;521;25;52
20-oct-13;20:00;14;47;52;19;495;25;48
21-oct-13;3:00;7;26;25;9;484;25;48
21-oct-13;14:00;90;57;162;53;636;26;48
21-oct-13;22:00;46;39;69;25;539;26;53
03-mai-14;21:00;6;69;88;40;434;21;29
03-mai-14;22:00;5;65;97;38;424;21;30
04-mai-14;23:00;4;60;83;32;394;21;32
04-mai-14;4:00;<2;37;77;32;398;20;34
04-mai-14;9:00;8;60;90;32;425;20;32
04-mai-14;14:00;3;68;86;32;430;21;28
04-mai-14;16:00;4;73;117;49;446;22;29
04-mai-14;19:00;5;77;86;36;415;21;30
05-mai-14;1:00;<2;46;ND;ND;386;21;35
05-mai-14;21:00;18;86;134;55;426;23;33
08-sept-14;3:00;<2;33;60;31;423;25;52
08-sept-14;6:00;97;48;210;91;703;26;51
08-sept-14;8:00;117;50;251;111;586;27;51
08-sept-14;10:00;64;66;188;76;543;27;47
08-sept-14;16:00;20;65;355;143;770;29;45
08-sept-14;21:00;<2;45;159;65;429;27;47
09-sept-14;2:00;<2;21;35;20;390;26;46
09-sept-14;5:00;43;39;221;87;528;26;46
09-sept-14;7:00;101;51;262;99;717;27;43
09-sept-14;8:00;85;56;172;65;531;27;43
09-sept-14;12:00;32;67;106;39;513;27;34
09-sept-14;22:00;3;47;92;32;407;26;37
10-sept-14;1:00;<2;24;64;22;388;25;41
10-sept-14;4:00;19;31;134;48;435;25;44
10-sept-14;5:00;46;31;277;107;517;25;45
10-sept-14;20:00;12;47;110;44;437;26;36
11-sept-14;5:00;73;39;217;89;513;25;40
11-sept-14;7:00;135;48;214;77;705;26;40
11-sept-14;9:00;103;54;291;134;501;26;40
11-sept-14;12:00;58;58;192;79;519;26;39
11-sept-14;15:00;37;54;271;112;702;27;38
11-sept-14;17:00;51;62;268;111;672;27;37
11-sept-14;19:00;51;80;159;63;483;26;38
11-sept-14;20:00;28;66;89;44;442;26;39
11-sept-14;21:00;13;56;126;53;434;26;42
11-sept-14;23:00;25;45;77;34;396;25;44
12-sept-14;1:00;11;29;86;35;383;25;46
12-sept-14;3:00;140;42;49;31;406;25;47
12-sept-14;5:00;59;37;298;114;518;25;47
12-sept-14;12:00;47;62;137;88;564;26;36
12-sept-14;14:00;29;61;189;83;664;27;35
12-sept-14;19:00;33;75;130;58;493;27;37
12-sept-14;22:00;9;59;111;54;467;26;41
13-sept-14;6:00;29;39;125;50;466;25;48
13-sept-14;10:00;33;53;179;67;546;26;45
13-sept-14;14:00;17;60;197;76;599;27;45
14-sept-14;2:00;<2;34;8;16;407;25;44
14-sept-14;7:00;15;40;108;50;451;25;45
14-sept-14;15:00;6;60;115;50;471;26;41
14-sept-14;18:00;20;61;180;75;471;26;45
14-sept-14;19:00;10;51;130;60;451;26;46
15-sept-14;10:00;81;54;236;111;544;26;50
15-sept-14;12:00;55;63;178;77;553;27;47
15-sept-14;15:00;43;70;278;104;741;28;44
15-sept-14;16:00;46;57;455;211;827;28;46
15-sept-14;17:00;67;76;558;249;729;28;43
16-sept-14;4:00;34;54;140;64;470;25;49
16-sept-14;5:00;81;53;298;119;570;26;50
16-sept-14;6:00;126;50;475;234;745;26;52
16-sept-14;7:00;165;61;344;163;813;27;50
16-sept-14;10:00;72;66;230;98;543;27;49
16-sept-14;13:00;43;77;228;99;555;28;45
16-sept-14;19:00;66;100;222;93;500;28;43
16-sept-14;21:00;20;75;134;58;454;27;47
17-sept-14;3:00;265;78;193;65;444;26;51
17-sept-14;10:00;83;62;247;113;532;27;51
17-sept-14;20:00;67;77;153;74;465;28;51
18-sept-14;12:00;55;72;197;85;526;28;47
18-sept-14;18:00;133;82;327;170;593;28;51
19-sept-14;10:00;ND;ND;193;106;ND;28;50
19-sept-14;16:00;54;74;150;58;767;29;50
19-sept-14;18:00;36;55;183;85;594;29;51
19-sept-14;20:00;22;46;216;86;497;28;51
19-sept-14;21:00;18;47;206;91;492;28;51
20-sept-14;1:00;1144;247;180;197;674;29;46
20-sept-14;17:00;67;74;142;65;592;28;51
20-sept-14;18:00;71;74;199;84;557;28;52
20-sept-14;23:00;34;59;41;21;423;27;52
21-sept-14;0:00;19;50;6;8;413;26;53
21-sept-14;6:00;<2;37;113;51;440;26;54
21-sept-14;16:00;7;51;172;61;468;27;44
21-sept-14;18:00;12;58;198;76;447;26;39
21-sept-14;21:00;<2;31;89;38;422;26;41
22-sept-14;3:00;<2;22;86;33;391;24;44
22-sept-14;8:00;70;48;158;64;515;25;44
22-sept-14;14:00;37;53;281;110;551;26;37
22-sept-14;17:00;47;56;449;233;664;27;35
22-sept-14;18:00;46;54;392;208;559;26;38
22-sept-14;22:00;<2;39;123;80;404;25;39
23-sept-14;1:00;85;46;66;65;391;24;39
23-sept-14;2:00;79;43;54;54;393;24;40
23-sept-14;6:00;135;53;241;133;636;24;41
23-sept-14;17:00;61;55;469;231;687;26;38
24-sept-14;5:00;101;46;255;125;545;24;43
24-sept-14;6:00;150;56;232;113;702;24;42
24-sept-14;18:00;41;45;602;308;578;26;52
24-sept-14;21:00;16;41;157;69;416;25;51
24-sept-14;23:00;9;42;70;29;381;24;48
25-sept-14;4:00;38;35;134;60;437;24;48
25-sept-14;10:00;85;54;171;75;506;25;41
04-juil-13;18:00;ND;ND;329;119;639;28;54
04-juil-13;20:00;ND;ND;141;56;516;27;55
05-juil-13;0:00;ND;ND;77;45;423;26;55
05-juil-13;8:00;ND;ND;212;81;550;26;54
05-juil-13;9:00;ND;ND;192;77;527;27;54
05-juil-13;20:00;ND;ND;178;66;453;27;54
05-juil-13;22:00;ND;ND;182;63;445;27;53
06-juil-13;1:00;ND;ND;24;19;396;27;53
06-juil-13;4:00;ND;ND;79;32;428;26;54
06-juil-13;5:00;ND;ND;91;35;445;26;54
06-juil-13;6:00;ND;ND;170;66;459;26;54
06-juil-13;7:00;ND;ND;125;48;485;26;54
06-juil-13;9:00;ND;ND;167;59;541;27;54
06-juil-13;13:00;ND;ND;168;59;586;28;52
07-juil-13;10:00;ND;ND;161;57;453;28;53
07-juil-13;16:00;ND;ND;180;65;455;29;52
07-juil-13;19:00;ND;ND;178;66;437;28;54
07-juil-13;23:00;ND;ND;119;47;391;28;54
08-juil-13;12:00;ND;ND;257;99;571;29;52
08-juil-13;15:00;ND;ND;375;132;703;30;52
08-juil-13;19:00;ND;ND;208;65;461;29;53
08-juil-13;22:00;ND;ND;269;93;423;29;53
08-juil-13;23:00;ND;ND;116;46;395;28;53
09-juil-13;9:00;ND;ND;254;104;523;29;54
09-juil-13;19:00;ND;ND;210;79;475;30;54
09-juil-13;23:00;ND;ND;81;29;401;28;53
10-juil-13;4:00;ND;ND;91;32;446;27;52
10-juil-13;7:00;ND;ND;273;93;671;28;52
10-juil-13;10:00;ND;ND;286;100;526;29;52
10-juil-13;13:00;ND;ND;219;175;543;29;53
10-juil-13;19:00;ND;ND;210;78;466;29;53
10-juil-13;21:00;ND;ND;118;38;436;28;53
10-juil-13;23:00;ND;ND;107;40;399;28;51
11-juil-13;0:00;ND;ND;51;22;386;28;51
11-juil-13;8:00;ND;ND;476;172;525;28;48
11-juil-13;9:00;ND;ND;133;42;489;27;47
11-juil-13;10:00;ND;ND;151;51;508;27;48
11-juil-13;15:00;ND;ND;280;91;647;29;49
11-juil-13;17:00;ND;ND;291;98;670;29;49
12-juil-13;5:00;ND;ND;178;60;498;26;49
12-juil-13;6:00;ND;ND;253;84;621;27;49
12-juil-13;10:00;ND;ND;208;72;522;28;49
12-juil-13;16:00;ND;ND;258;87;708;29;51
12-juil-13;20:00;ND;ND;164;60;449;28;50
12-juil-13;23:00;ND;ND;145;60;430;27;51
13-juil-13;5:00;ND;ND;93;31;453;26;51
13-juil-13;8:00;ND;ND;153;51;487;26;51
13-juil-13;16:00;ND;ND;160;58;585;28;50
13-juil-13;18:00;ND;ND;156;58;532;28;51
13-juil-13;22:00;ND;ND;145;62;450;27;51
14-juil-13;3:00;ND;ND;49;31;421;26;52
14-juil-13;9:00;ND;ND;121;42;452;27;51
14-juil-13;12:00;ND;ND;101;34;464;28;50
14-juil-13;15:00;ND;ND;158;54;469;28;51
14-juil-13;17:00;ND;ND;164;60;469;28;51
14-juil-13;19:00;ND;ND;131;51;456;28;52
15-juil-13;3:00;ND;ND;53;26;433;27;54
15-juil-13;5:00;ND;ND;188;76;552;28;54
15-juil-13;8:00;ND;ND;231;84;554;28;53
15-juil-13;12:00;ND;ND;164;59;573;29;52
16-juil-13;5:00;ND;ND;108;42;525;28;53
16-juil-13;9:00;ND;ND;95;37;532;28;52
16-juil-13;10:00;ND;ND;102;36;550;28;51
16-juil-13;16:00;ND;ND;188;63;691;30;51
16-juil-13;17:00;ND;ND;211;72;667;30;50
16-juil-13;20:00;ND;ND;61;24;439;29;50
16-juil-13;21:00;ND;ND;60;26;435;29;50
16-juil-13;23:00;ND;ND;84;33;409;28;51
17-juil-13;3:00;ND;ND;45;24;418;27;52
17-juil-13;4:00;ND;ND;73;33;453;28;53
17-juil-13;7:00;ND;ND;155;57;611;28;53
17-juil-13;8:00;ND;ND;159;54;550;28;52
17-juil-13;14:00;ND;ND;126;52;596;29;53
17-juil-13;17:00;ND;ND;168;57;623;30;51
17-juil-13;19:00;ND;ND;116;49;460;29;52
17-juil-13;20:00;ND;ND;90;39;442;29;53
18-juil-13;2:00;ND;ND;26;19;410;28;54
18-juil-13;6:00;ND;ND;173;67;611;29;54
18-juil-13;9:00;ND;ND;85;32;517;29;53
18-juil-13;15:00;ND;ND;140;48;648;30;52
18-juil-13;16:00;ND;ND;204;66;676;30;52
18-juil-13;21:00;ND;ND;92;44;432;29;56
19-juil-13;7:00;ND;ND;161;49;594;29;54
19-juil-13;11:00;116;87;69;24;547;29;52
19-juil-13;12:00;118;93;84;25;547;29;52
20-juil-13;0:00;9;31;224;34;401;28;53
20-juil-13;2:00;8;26;22;<5;405;27;54
20-juil-13;3:00;8;24;25;9;411;27;54
20-juil-13;7:00;28;48;37;12;445;27;53
20-juil-13;11:00;19;70;53;15;490;28;54
20-juil-13;12:00;20;76;48;14;499;29;53
20-juil-13;23:00;8;34;24;10;393;28;55
21-juil-13;3:00;7;24;16;9;407;27;55
21-juil-13;11:00;7;55;16;<5;413;29;52
21-juil-13;12:00;7;60;42;12;418;29;52
21-juil-13;15:00;8;74;46;18;420;30;51
21-juil-13;21:00;10;78;51;26;422;30;53
21-juil-13;23:00;10;66;54;20;403;29;53
22-juil-13;1:00;17;60;18;11;407;29;53
22-juil-13;9:00;ND;ND;50;12;487;30;51
28-sept-14;21:00;18;65;184;79;438;26;46
29-sept-14;0:00;<2;46;52;27;400;25;47
29-sept-14;5:00;59;39;295;135;574;26;52
29-sept-14;10:00;74;52;296;139;568;26;53
29-sept-14;15:00;34;51;224;99;762;28;51
29-sept-14;16:00;31;51;305;143;851;28;51
30-sept-14;7:00;141;42;355;164;837;27;55
01-oct-14;0:00;25;50;60;33;412;26;49
01-oct-14;4:00;38;33;183;79;465;25;51
01-oct-14;8:00;191;46;280;128;624;26;50
01-oct-14;10:00;111;50;277;127;553;27;49
01-oct-14;11:00;60;51;292;135;555;27;47
01-oct-14;12:00;49;53;217;93;559;27;44
01-oct-14;16:00;44;45;446;198;914;29;43
01-oct-14;18:00;84;66;505;217;637;28;43
02-oct-14;0:00;741;176;85;85;453;26;49
02-oct-14;1:00;911;207;84;77;477;26;50
02-oct-14;6:00;72;35;458;203;746;27;51
02-oct-14;10:00;98;44;234;97;540;27;48
02-oct-14;11:00;94;51;194;86;563;27;47
02-oct-14;12:00;77;51;257;115;555;27;48
02-oct-14;18:00;76;47;546;266;634;28;49
02-oct-14;20:00;56;56;127;80;459;27;48
03-oct-14;5:00;117;35;339;147;545;26;52
03-oct-14;8:00;207;52;231;100;576;27;49
03-oct-14;10:00;137;63;203;92;559;27;47
03-oct-14;17:00;85;69;506;238;783;29;41
03-oct-14;22:00;104;88;148;67;511;27;43
04-oct-14;0:00;87;85;44;40;444;26;43
04-oct-14;2:00;46;70;18;19;439;26;44
04-oct-14;13:00;8;50;277;119;590;27;44
04-oct-14;14:00;16;58;229;102;634;27;43
04-oct-14;15:00;20;55;382;159;639;27;42
04-oct-14;17:00;36;66;235;109;637;27;44
05-oct-14;3:00;<2;21;32;17;390;24;42
05-oct-14;8:00;19;35;163;65;438;25;37
05-oct-14;9:00;16;36;107;42;440;25;35
05-oct-14;11:00;10;37;104;42;444;25;35
05-oct-14;17:00;41;47;235;90;493;25;36
05-oct-14;21:00;8;48;90;36;431;25;36
05-oct-14;22:00;12;48;84;37;413;25;36
06-oct-14;4:00;51;37;181;74;460;24;38
06-oct-14;9:00;105;36;261;113;544;25;42
06-oct-14;14:00;38;38;254;104;593;25;40
06-oct-14;15:00;30;36;382;175;763;25;42
06-oct-14;18:00;45;38;354;168;595;25;51
06-oct-14;21:00;8;31;114;54;409;24;52
06-oct-14;22:00;7;29;145;66;388;24;52
06-oct-14;23:00;11;25;78;37;371;24;51
07-oct-14;3:00;11;21;33;18;379;24;51
07-oct-14;10:00;31;48;227;88;507;25;42
07-oct-14;12:00;19;49;166;70;511;25;40
07-oct-14;18:00;53;45;592;287;606;25;44
08-oct-14;3:00;16;27;44;21;379;23;49
08-oct-14;7:00;85;27;765;326;771;25;60
08-oct-14;9:00;98;54;284;150;494;24;56
08-oct-14;18:00;43;36;277;138;564;26;61
08-oct-14;19:00;19;32;225;111;454;25;60
08-oct-14;20:00;14;36;181;84;412;25;58
08-oct-14;22:00;<2;30;103;42;380;25;53
09-oct-14;6:00;69;38;251;101;633;25;54
09-oct-14;7:00;73;34;310;135;709;25;54
09-oct-14;8:00;79;42;211;88;508;25;53
09-oct-14;13:00;20;46;199;71;504;25;41
09-oct-14;16:00;36;43;330;147;751;26;44
10-oct-14;0:00;<2;23;18;9;337;24;50
10-oct-14;2:00;<2;16;<5;<5;339;24;48
10-oct-14;4:00;12;25;181;80;390;24;47
10-oct-14;11:00;ND;ND;ND;ND;568;25;46
10-oct-14;13:00;38;48;180;70;591;25;44
10-oct-14;14:00;58;51;274;89;670;25;43
10-oct-14;18:00;97;53;497;215;622;25;47
10-oct-14;23:00;74;52;76;39;445;24;48
11-oct-14;9:00;36;43;96;40;518;24;50
11-oct-14;11:00;24;47;116;46;553;25;46
11-oct-14;16:00;55;56;128;52;645;25;43
11-oct-14;21:00;88;62;138;59;513;25;45
12-oct-14;8:00;40;45;67;30;457;24;44
12-oct-14;12:00;41;47;165;63;472;24;46
12-oct-14;13:00;38;46;136;56;478;24;48
12-oct-14;16:00;80;46;96;44;503;24;54
13-oct-14;3:00;<2;14;21;7;396;24;50
14-oct-14;0:00;<2;25;8;6;389;23;39
14-oct-14;7:00;99;56;280;113;785;24;42
14-oct-14;15:00;38;54;344;149;724;25;38
14-oct-14;16:00;45;58;337;148;838;26;37
14-oct-14;17:00;73;65;286;110;754;25;37
14-oct-14;23:00;52;59;176;67;428;24;39
15-oct-14;1:00;71;53;386;110;425;23;49
15-oct-14;5:00;137;53;260;112;578;24;45
15-oct-14;14:00;86;42;160;74;606;25;53
15-oct-14;16:00;83;43;202;94;819;25;55
15-oct-14;17:00;83;46;197;91;721;25;54
15-oct-14;23:00;11;34;103;46;381;24;53
16-oct-14;0:00;3;25;48;21;370;24;55
16-oct-14;1:00;<2;18;179;71;365;23;59
16-oct-14;3:00;126;28;42;18;385;23;56
16-oct-14;6:00;65;41;203;83;663;24;57
16-oct-14;17:00;66;46;215;94;697;26;53
16-oct-14;18:00;66;46;222;110;560;25;54
26-févr-14;1:00;1699;474;125;99;554;19,6;40,9
26-févr-14;5:00;7;45;45;17;447;18;41,5
26-févr-14;14:00;75;74;89;39;557;19;36,1
26-févr-14;23:00;30;58;145;58;459;18,9;38,3
27-févr-14;6:00;44;55;113;41;511;17,9;39,6
27-févr-14;9:00;39;62;138;53;524;18;45,4
27-févr-14;11:00;39;57;171;68;525;18,1;47,9
27-févr-14;12:00;44;60;124;39;540;18,4;47,3
27-févr-14;18:00;67;79;117;75;645;18,8;42,3
27-févr-14;20:00;59;69;287;117;529;19,1;42,4
27-févr-14;23:00;13;54;95;66;454;18,7;40,8
28-févr-14;4:00;44;48;29;15;426;18,1;41,1
28-févr-14;14:00;41;64;102;41;593;18,8;38,5
28-févr-14;15:00;49;66;178;74;627;18,9;40,4
28-févr-14;17:00;98;78;154;57;693;18,8;41,4
28-févr-14;18:00;112;76;137;57;696;18,9;42,2
28-févr-14;21:00;79;76;112;50;535;18,6;40,4
01-mars-14;6:00;44;54;75;30;466;17,6;42,5
01-mars-14;9:00;60;64;70;26;513;17,7;42,2
01-mars-14;11:00;60;67;109;42;544;18,2;41
01-mars-14;18:00;111;80;146;64;665;18,8;36,3
01-mars-14;23:00;74;79;101;43;521;18,4;33,3
02-mars-14;5:00;69;66;196;89;503;17,7;36,1
02-mars-14;6:00;84;67;100;52;509;17,4;35,2
02-mars-14;13:00;9;57;114;33;491;18;32,8
02-mars-14;20:00;11;60;80;26;481;18,5;31,9
03-mars-14;7:00;48;70;191;71;670;18;42,1
03-mars-14;13:00;41;70;128;51;553;18,3;43
03-mars-14;17:00;60;73;167;64;742;18,9;43,9
03-mars-14;18:00;67;80;121;49;667;18,5;43,1
04-mars-14;0:00;9;51;169;60;432;18,3;39,3
04-mars-14;1:00;4;44;50;25;428;18,3;39,7
04-mars-14;11:00;117;75;101;43;567;18,4;40,7
04-mars-14;12:00;97;75;137;56;572;18,4;40,2
04-mars-14;19:00;157;94;108;47;620;18,8;34,8
04-mars-14;23:00;128;87;96;47;503;18,5;36,3
05-mars-14;4:00;22;63;25;21;445;17,6;38,9
05-mars-14;7:00;244;95;169;71;700;17,9;42,1
05-mars-14;10:00;106;84;116;53;533;18,1;40
05-mars-14;11:00;88;78;106;44;558;18,6;38,5
06-mars-14;5:00;192;84;130;58;545;18;37,3
06-mars-14;8:00;260;91;323;129;789;18,8;38,6
06-mars-14;11:00;142;91;121;50;582;18,9;31,6
06-mars-14;14:00;81;88;118;45;574;19,6;27,4
06-mars-14;18:00;100;95;156;64;711;20,1;29,8
06-mars-14;20:00;105;94;221;94;573;19,9;30,7
07-mars-14;11:00;ND;ND;98;30;575;18,9;33,9
07-mars-14;13:00;ND;ND;164;61;599;20,1;32
07-mars-14;16:00;ND;ND;243;101;765;20,7;32,1
07-mars-14;19:00;ND;ND;238;104;650;20,6;34
07-mars-14;21:00;ND;ND;141;61;513;19,8;35,9
08-mars-14;2:00;ND;ND;28;19;453;19,2;38,9
08-mars-14;3:00;ND;ND;26;21;454;18,9;39
08-mars-14;4:00;ND;ND;35;25;462;18,6;39,7
08-mars-14;14:00;ND;ND;130;50;602;20,7;34
08-mars-14;20:00;ND;ND;194;78;528;20,5;32,7
09-mars-14;2:00;ND;ND;23;16;445;20,3;32,5
09-mars-14;7:00;ND;ND;104;45;461;19,3;34
09-mars-14;8:00;ND;ND;124;55;487;19,6;34,2
09-mars-14;15:00;ND;ND;106;32;501;21,1;28,2
10-mars-14;3:00;ND;ND;36;31;512;20;36
10-mars-14;4:00;ND;ND;43;34;532;19,6;37,1
10-mars-14;5:00;ND;ND;96;54;580;19,7;38
10-mars-14;11:00;ND;ND;162;67;558;20,6;36,4
10-mars-14;12:00;ND;ND;100;39;558;20,9;34,2
10-mars-14;14:00;ND;ND;185;66;576;21,4;31,8
11-mars-14;2:00;ND;ND;31;25;416;20,7;40,7
12-mars-14;0:00;ND;ND;88;49;437;19,9;40,3
12-mars-14;4:00;ND;ND;47;39;443;18,8;40,9
12-mars-14;8:00;ND;ND;125;55;655;19,4;39,7
12-mars-14;16:00;ND;ND;131;56;658;21,3;32,8
12-mars-14;18:00;ND;ND;118;48;654;21,5;30,8
