DATE;HEURE;NO;NO2;PM10;PM25;CO2;TEMP;HUMI
12-févr-14;15:00;26;58;93;24;557;17,9;35,7
12-févr-14;21:00;9;48;59;23;469;17,7;45,4
12-févr-14;23:00;8;43;38;17;469;18;43,9
13-févr-14;17:00;62;68;105;42;669;18;36,4
13-févr-14;18:00;77;72;104;56;654;18;37
14-févr-14;9:00;89;66;101;36;569;17,2;46,2
14-févr-14;11:00;60;70;91;32;565;17,2;46,8
14-févr-14;12:00;61;71;77;25;559;17;48,6
14-févr-14;22:00;4;35;48;31;489;18,4;48,3
15-févr-14;0:00;<2;36;51;19;439;18,6;43,7
15-févr-14;4:00;<2;18;22;12;423;17,5;47
15-févr-14;7:00;5;45;59;24;456;17,6;45,7
15-févr-14;8:00;6;49;65;22;471;17,6;43,6
15-févr-14;14:00;14;57;67;29;546;18,2;38,9
15-févr-14;15:00;18;55;90;38;564;18,4;39,9
15-févr-14;16:00;31;62;74;28;579;18,7;37,8
15-févr-14;18:00;67;66;136;56;605;18,6;42,6
16-févr-14;5:00;<2;26;26;12;435;16,8;41,8
16-févr-14;6:00;<2;32;30;15;439;16,9;41,7
16-févr-14;7:00;3;41;36;16;439;16,8;42,3
16-févr-14;10:00;6;47;54;21;464;17;42,9
16-févr-14;11:00;9;50;43;16;468;17,2;42,7
16-févr-14;12:00;5;48;54;15;466;17,2;41,9
16-févr-14;14:00;8;49;53;19;475;17,5;42
16-févr-14;15:00;10;51;61;21;493;17,8;41,1
16-févr-14;22:00;5;49;38;16;451;17,4;43,2
17-févr-14;5:00;15;44;59;24;470;16,9;44,1
17-févr-14;6:00;60;58;65;29;513;16,7;45,4
17-févr-14;18:00;121;82;95;35;635;18,2;38,2
17-févr-14;20:00;63;67;116;42;511;18,4;38,4
18-févr-14;3:00;11;44;14;10;441;17,3;37,7
19-févr-14;10:00;76;60;67;29;510;17,5;50,7
19-févr-14;12:00;61;67;59;22;518;17,8;46,6
19-févr-14;22:00;20;56;42;16;471;18,1;43,7
20-févr-14;7:00;60;49;113;41;629;18;56,4
20-févr-14;10:00;50;52;52;23;496;17,9;56,6
20-févr-14;18:00;49;50;82;30;615;18,7;58
20-févr-14;19:00;54;58;81;31;541;18,6;56,3
20-févr-14;20:00;43;70;74;24;511;18,7;51,2
21-févr-14;1:00;6;24;ND;ND;420;18,4;47
21-févr-14;2:00;47;24;32;16;425;18,5;47,9
21-févr-14;8:00;53;62;137;54;645;18,4;41,3
21-févr-14;9:00;56;55;355;150;556;18,7;41,4
21-févr-14;15:00;35;60;124;46;619;19;33,7
22-févr-14;4:00;3;26;31;13;424;17,4;40,1
22-févr-14;5:00;5;36;109;42;444;17,8;41,3
22-févr-14;21:00;80;68;140;63;508;18,5;43,4
23-févr-14;4:00;10;40;68;56;428;18;42,3
23-févr-14;6:00;15;40;92;34;442;17,9;43,2
23-févr-14;10:00;8;48;126;46;456;18;42,9
23-févr-14;18:00;54;77;96;39;520;18,8;41,3
24-févr-14;0:00;106;47;130;51;434;18,8;43,7
24-févr-14;5:00;28;50;71;22;466;17,9;41,3
24-févr-14;8:00;138;70;128;46;681;18,4;40,4
24-févr-14;12:00;30;60;171;69;533;19;38,8
24-févr-14;13:00;28;61;123;51;536;19;40
24-févr-14;16:00;22;65;123;51;624;19,5;42,4
24-févr-14;20:00;70;72;237;98;519;19,8;42,7
24-févr-14;22:00;45;69;149;57;488;19,5;40,3
25-févr-14;2:00;9;27;42;25;420;19,4;42,4
25-févr-14;4:00;160;65;61;34;431;18,7;41,2
25-févr-14;9:00;43;61;191;94;536;19;49,1
25-févr-14;20:00;26;64;150;63;500;19,5;41,8
25-févr-14;22:00;8;54;86;33;466;19;41,3
26-févr-14;3:00;9;30;14;10;410;19,2;39,4
26-févr-14;4:00;117;84;24;16;430;18,3;40,5
26-févr-14;11:00;64;65;155;59;531;18,7;39,9
26-févr-14;12:00;58;64;151;58;535;18,9;39,2
26-févr-14;13:00;66;72;101;43;540;18,8;37,1
26-févr-14;15:00;66;69;168;68;583;19,4;35,5
26-févr-14;19:00;85;74;133;58;576;19,2;37,9
27-févr-14;8:00;68;57;172;79;680;18,6;45,6
27-févr-14;13:00;61;64;99;35;545;18,4;47,2
27-févr-14;16:00;68;74;142;59;662;19;44,2
27-févr-14;19:00;80;77;277;169;596;19;43,1
28-févr-14;3:00;114;56;6;<5;428;19;39,2
28-févr-14;7:00;61;62;189;107;621;18,1;49,3
28-févr-14;8:00;80;63;155;71;662;18,3;49,6
28-févr-14;10:00;94;72;125;48;537;18,3;46,3
28-févr-14;12:00;46;68;126;50;584;18,8;41
28-févr-14;23:00;34;59;109;44;493;18,3;40,6
01-mars-14;2:00;16;44;17;12;438;19,1;39,7
01-mars-14;12:00;68;76;77;29;541;18;38,5
01-mars-14;13:00;59;73;117;43;558;18,4;35,8
01-mars-14;20:00;102;87;121;54;535;18,2;34,7
02-mars-14;8:00;142;66;206;88;562;17,7;35
02-mars-14;10:00;55;64;112;44;507;17,9;34,3
03-mars-14;0:00;4;34;227;82;428;18,4;41,2
03-mars-14;22:00;10;68;156;46;474;18,2;37,8
04-mars-14;4:00;8;47;29;18;441;17,4;39,6
04-mars-14;8:00;118;69;180;64;705;18;43,5
01-janv-13;22:00;ND;ND;308;123;412;20;47
01-janv-13;17:00;ND;ND;481;188;465;21;48
01-janv-13;23:00;ND;ND;362;143;398;20;46
02-janv-13;12:00;ND;ND;425;165;513;20;47
02-janv-13;7:00;ND;ND;854;311;573;20;47
01-janv-13;5:00;ND;ND;382;120;419;20;51
01-janv-13;8:00;ND;ND;295;118;403;20;51
12-sept-14;4:00;25;37;71;29;432;25;45
12-sept-14;9:00;67;50;268;117;499;26;41
12-sept-14;15:00;32;63;283;111;768;28;36
12-sept-14;17:00;36;59;493;220;708;28;37
13-sept-14;1:00;<2;40;7;13;413;25;46
13-sept-14;3:00;3;26;66;30;422;24;49
13-sept-14;4:00;7;33;100;44;437;25;48
13-sept-14;17:00;23;67;149;59;597;27;43
13-sept-14;18:00;26;66;140;58;546;27;43
13-sept-14;20:00;7;58;109;40;457;26;42
13-sept-14;21:00;4;49;130;57;460;26;43
14-sept-14;1:00;4;46;11;21;410;25;44
14-sept-14;8:00;31;47;144;70;455;25;44
15-sept-14;2:00;11;30;19;17;411;24;52
15-sept-14;7:00;136;40;356;155;819;26;50
15-sept-14;9:00;118;44;371;210;565;26;52
15-sept-14;19:00;55;86;166;72;494;27;43
15-sept-14;23:00;96;87;76;40;425;26;48
16-sept-14;2:00;11;53;12;17;420;25;49
16-sept-14;17:00;71;79;578;300;754;29;44
16-sept-14;18:00;82;90;549;232;603;28;44
16-sept-14;20:00;32;80;135;57;465;27;46
17-sept-14;19:00;84;84;179;78;504;28;49
18-sept-14;0:00;26;36;53;41;391;27;53
18-sept-14;3:00;6;34;55;28;405;26;55
18-sept-14;6:00;117;51;389;179;708;28;55
18-sept-14;7:00;133;59;300;135;724;28;54
18-sept-14;15:00;95;70;272;118;741;29;54
18-sept-14;22:00;50;59;52;28;422;27;54
